SampleID,copies_L,Accepted_Droplets,Positive_Droplets,Negative_Droplets,Sample_Vol_Filtered_L,Extraction_Elution_Vol_uL,ddPCR_template_vol_uL,ddPCR_assay_vol_uL,Dilution_factor_ddPCR_template,Conc_ddPCR_output_copies,SurveyType,LocationType,date,site_id,site_latitude,site_longitude,transect_n,biomass_density_sum,biomass_density_avg,biomass_density_max,pyc_count_sum,pyc_count_mean,pyc_count_max,density_sum,density_avg,density_max
CMIC617,402143.2877,14266,4383,9883,1,100,2,20,50,8.04,subtidal,Fjord,2021-10-16,burke sagen,51.9258389,-127.88845,3,0.036414598,0.012138199,0.036414598,1,0.333333333,1,0.016666667,0.005555556,0.016666667
CMIC617,404045.105,14486,4889,9597,1,100,2,20,50,8.08,subtidal,Fjord,2021-10-16,burke sagen,51.9258389,-127.88845,3,0.036414598,0.012138199,0.036414598,1,0.333333333,1,0.016666667,0.005555556,0.016666667
CMIC618,403.2512307,15599,5,15594,1,100,2,20,1,0.4,intertidal,OuterIslands,2021-11-05,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC618,90.83016962,13849,1,13848,1,100,2,20,1,0.09,intertidal,OuterIslands,2021-11-05,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC618,494.8639274,15254,6,15248,1,100,2,20,1,0.49,intertidal,OuterIslands,2021-11-05,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC620,77.77300477,16174,1,16173,1,100,2,20,1,0.08,intertidal,OuterIslands,2021-11-07,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC620,0,14899,0,14899,1,100,2,20,1,0,intertidal,OuterIslands,2021-11-07,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC620,0,16675,0,16675,1,100,2,20,1,0,intertidal,OuterIslands,2021-11-07,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC624,717.2070146,15789,9,15780,1,100,2,20,1,0.72,subtidal,OuterIslands,2022-05-13,mustang315,51.80212005,-128.0528775,3,6.95E-04,2.32E-04,3.53E-04,42,14,27,0.7,0.233333333,0.45
CMIC624,815.9543872,18505,12,18493,1,100,2,20,1,0.82,subtidal,OuterIslands,2022-05-13,mustang315,51.80212005,-128.0528775,3,6.95E-04,2.32E-04,3.53E-04,42,14,27,0.7,0.233333333,0.45
CMIC624,862.4843955,17507,12,17495,1,100,2,20,1,0.86,subtidal,OuterIslands,2022-05-13,mustang315,51.80212005,-128.0528775,3,6.95E-04,2.32E-04,3.53E-04,42,14,27,0.7,0.233333333,0.45
CMIC625,154.1402638,16322,2,16320,1,100,2,20,1,0.15,subtidal,OuterIslands,2022-05-14,kwakshua146,51.65812538,-128.1127092,3,0.00311837,0.001039457,0.001450429,31,10.33333333,27,0.516666667,0.172222222,0.45
CMIC625,72.57661223,17332,1,17331,1,100,2,20,1,0.07,subtidal,OuterIslands,2022-05-14,kwakshua146,51.65812538,-128.1127092,3,0.00311837,0.001039457,0.001450429,31,10.33333333,27,0.516666667,0.172222222,0.45
CMIC625,0,17914,0,17914,1,100,2,20,1,0,subtidal,OuterIslands,2022-05-14,kwakshua146,51.65812538,-128.1127092,3,0.00311837,0.001039457,0.001450429,31,10.33333333,27,0.516666667,0.172222222,0.45
CMIC626,730.5833697,15500,9,15491,1,100,2,20,1,0.73,subtidal,OuterIslands,2022-05-14,Meay,51.66461667,-128.0945833,3,0.007322142,0.002440714,0.003105172,77,25.66666667,34,1.283333333,0.427777778,0.566666667
CMIC626,578.9926648,17384,8,17376,1,100,2,20,1,0.58,subtidal,OuterIslands,2022-05-14,Meay,51.66461667,-128.0945833,3,0.007322142,0.002440714,0.003105172,77,25.66666667,34,1.283333333,0.427777778,0.566666667
CMIC626,145.1909244,17328,2,17326,1,100,2,20,1,0.15,subtidal,OuterIslands,2022-05-14,Meay,51.66461667,-128.0945833,3,0.007322142,0.002440714,0.003105172,77,25.66666667,34,1.283333333,0.427777778,0.566666667
CMIC628,94.26774085,13344,1,13343,1,100,2,20,1,0.09,intertidal,OuterIslands,2022-05-15,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC628,0,16363,0,16363,1,100,2,20,1,0,intertidal,OuterIslands,2022-05-15,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC628,169.1242605,14876,2,14874,1,100,2,20,1,0.17,intertidal,OuterIslands,2022-05-15,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC629,217.8932875,17320,3,17317,1,100,2,20,1,0.22,intertidal,OuterIslands,2022-05-17,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC629,220.6710279,17102,3,17099,1,100,2,20,1,0.22,intertidal,OuterIslands,2022-05-17,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC629,210.1631612,17957,3,17954,1,100,2,20,1,0.21,intertidal,OuterIslands,2022-05-17,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC630,0,17390,0,17390,1,100,2,20,1,0,intertidal,OuterIslands,2022-05-18,Fifith Beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC630,0,16911,0,16911,1,100,2,20,1,0,intertidal,OuterIslands,2022-05-18,Fifith Beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC630,67.68701226,18584,1,18583,1,100,2,20,1,0.07,intertidal,OuterIslands,2022-05-18,Fifith Beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC631,1316.749692,17204,18,17186,1,100,2,20,1,1.32,subtidal,OuterIslands,2022-05-21,Choked Pass,51.67482341,-128.1194543,7,0.238566601,0.034080943,0.107041714,18,2.571428571,10,0.3,0.042857143,0.166666667
CMIC631,1487.889409,16918,20,16898,1,100,2,20,1,1.49,subtidal,OuterIslands,2022-05-21,Choked Pass,51.67482341,-128.1194543,7,0.238566601,0.034080943,0.107041714,18,2.571428571,10,0.3,0.042857143,0.166666667
CMIC631,883.3059669,18519,13,18506,1,100,2,20,1,0.88,subtidal,OuterIslands,2022-05-21,Choked Pass,51.67482341,-128.1194543,7,0.238566601,0.034080943,0.107041714,18,2.571428571,10,0.3,0.042857143,0.166666667
CMIC632,15114.62593,17498,209,17289,1,100,2,20,1,15.11,subtidal,Fjord,2022-05-22,burke sagen,51.9258389,-127.88845,3,0.088305599,0.0294352,0.051891001,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC632,14302.03629,17071,193,16878,1,100,2,20,1,14.3,subtidal,Fjord,2022-05-22,burke sagen,51.9258389,-127.88845,3,0.088305599,0.0294352,0.051891001,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC632,16745.67032,17165,227,16938,1,100,2,20,1,16.75,subtidal,Fjord,2022-05-22,burke sagen,51.9258389,-127.88845,3,0.088305599,0.0294352,0.051891001,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC633,99200.33264,17103,1297,15806,1,100,2,20,1,99.2,subtidal,Fjord,2022-05-22,burke eagle rock,51.9617544,-127.77545,3,1.259286476,0.419762159,0.580333449,55,18.33333333,38,0.916666667,0.305555556,0.633333333
CMIC633,84184.74579,14644,948,13696,1,100,2,20,1,84.18,subtidal,Fjord,2022-05-22,burke eagle rock,51.9617544,-127.77545,3,1.259286476,0.419762159,0.580333449,55,18.33333333,38,0.916666667,0.305555556,0.633333333
CMIC633,79249.2218,18179,1110,17069,1,100,2,20,1,79.25,subtidal,Fjord,2022-05-22,burke eagle rock,51.9617544,-127.77545,3,1.259286476,0.419762159,0.580333449,55,18.33333333,38,0.916666667,0.305555556,0.633333333
CMIC634,39300.78506,15084,464,14620,1,100,2,20,1,39.3,subtidal,Fjord,2022-05-22,burke doc marker,51.9652611,-127.71152,3,0.877650109,0.292550036,0.390599856,62,20.66666667,41,1.033333333,0.344444444,0.683333333
CMIC634,53128.81088,16055,664,15391,1,100,2,20,1,53.13,subtidal,Fjord,2022-05-22,burke doc marker,51.9652611,-127.71152,3,0.877650109,0.292550036,0.390599856,62,20.66666667,41,1.033333333,0.344444444,0.683333333
CMIC634,50560.94742,16168,637,15531,1,100,2,20,1,50.56,subtidal,Fjord,2022-05-22,burke doc marker,51.9652611,-127.71152,3,0.877650109,0.292550036,0.390599856,62,20.66666667,41,1.033333333,0.344444444,0.683333333
CMIC635,3193.701744,16563,42,16521,1,100,2,20,1,3.19,subtidal,Fjord,2022-05-22,burke hvidsen,51.9517062,-127.74103,3,0.153882137,0.051294046,0.082843806,9,3,6,0.15,0.05,0.1
CMIC635,3860.979557,16967,52,16915,1,100,2,20,1,3.86,subtidal,Fjord,2022-05-22,burke hvidsen,51.9517062,-127.74103,3,0.153882137,0.051294046,0.082843806,9,3,6,0.15,0.05,0.1
CMIC635,3710.61635,17314,51,17263,1,100,2,20,1,3.71,subtidal,Fjord,2022-05-22,burke hvidsen,51.9517062,-127.74103,3,0.153882137,0.051294046,0.082843806,9,3,6,0.15,0.05,0.1
CMIC636,793.8995361,17434,11,17423,1,100,2,20,1,0.79,subtidal,Fjord,2022-05-23,rivers rutherford point,51.65392208,-127.3912655,3,0.15671806,0.052239353,0.106276303,4,1.333333333,2,0.066666667,0.022222222,0.033333333
CMIC636,827.7137876,16722,11,16711,1,100,2,20,1,0.83,subtidal,Fjord,2022-05-23,rivers rutherford point,51.65392208,-127.3912655,3,0.15671806,0.052239353,0.106276303,4,1.333333333,2,0.066666667,0.022222222,0.033333333
CMIC636,1145.984888,17570,16,17554,1,100,2,20,1,1.15,subtidal,Fjord,2022-05-23,rivers rutherford point,51.65392208,-127.3912655,3,0.15671806,0.052239353,0.106276303,4,1.333333333,2,0.066666667,0.022222222,0.033333333
CMIC637,6594.774246,17785,93,17692,1,100,2,20,1,6.59,intertidal,OuterIslands,2022-05-18,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC637,7058.276176,17335,97,17238,1,100,2,20,1,7.06,intertidal,OuterIslands,2022-05-18,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC637,8382.502556,16712,111,16601,1,100,2,20,1,8.38,intertidal,OuterIslands,2022-05-18,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC638,38113.16681,17155,512,16643,1,100,2,20,1,38.11,subtidal,Fjord,2022-05-23,rivers hay stacks,51.5396992,-127.5598,3,0.261370745,0.087123582,0.209607722,8,2.666666667,4,0.133333333,0.044444444,0.066666667
CMIC638,37864.91394,16389,486,15903,1,100,2,20,1,37.86,subtidal,Fjord,2022-05-23,rivers hay stacks,51.5396992,-127.5598,3,0.261370745,0.087123582,0.209607722,8,2.666666667,4,0.133333333,0.044444444,0.066666667
CMIC638,38167.42325,15893,475,15418,1,100,2,20,1,38.17,subtidal,Fjord,2022-05-23,rivers hay stacks,51.5396992,-127.5598,3,0.261370745,0.087123582,0.209607722,8,2.666666667,4,0.133333333,0.044444444,0.066666667
CMIC639,66.38667732,18948,1,18947,1,100,2,20,1,0.07,intertidal,OuterIslands,2022-06-13,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC639,0,16244,0,16244,1,100,2,20,1,0,intertidal,OuterIslands,2022-06-13,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC639,0,18340,0,18340,1,100,2,20,1,0,intertidal,OuterIslands,2022-06-13,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC640,0,18704,0,18704,1,100,2,20,1,0,intertidal,OuterIslands,2022-06-14,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC640,0,17305,0,17305,1,100,2,20,1,0,intertidal,OuterIslands,2022-06-14,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC640,72.23900408,17413,1,17412,1,100,2,20,1,0.07,intertidal,OuterIslands,2022-06-14,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC772,146.8263716,17135,2,17133,1,100,2,20,1,0.15,intertidal,OuterIslands,2022-06-15,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC772,149.7276127,16803,2,16801,1,100,2,20,1,0.15,intertidal,OuterIslands,2022-06-15,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC772,2185.278416,16131,28,16103,1,100,2,20,1,2.19,intertidal,OuterIslands,2022-06-15,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC773,83404.12903,17816,1143,16673,1,100,2,20,1,83.4,subtidal,Fjord,2022-08-18,rivers rutherford point,51.65392208,-127.3912655,3,0.400918381,0.13363946,0.208977105,35,11.66666667,27,0.583333333,0.194444444,0.45
CMIC773,82073.16589,16164,1021,15143,1,100,2,20,1,82.07,subtidal,Fjord,2022-08-18,rivers rutherford point,51.65392208,-127.3912655,3,0.400918381,0.13363946,0.208977105,35,11.66666667,27,0.583333333,0.194444444,0.45
CMIC773,80433.41827,18178,1126,17052,1,100,2,20,1,80.43,subtidal,Fjord,2022-08-18,rivers rutherford point,51.65392208,-127.3912655,3,0.400918381,0.13363946,0.208977105,35,11.66666667,27,0.583333333,0.194444444,0.45
CMIC774,373527.4792,15393,3510,11883,1,100,2,20,50,7.47,subtidal,Fjord,2022-08-18,rivers hay stacks,51.5396992,-127.5598,3,0.680351049,0.226783683,0.37662278,9,3,6,0.15,0.05,0.1
CMIC774,369026.9232,15982,3786,12196,1,100,2,20,50,7.38,subtidal,Fjord,2022-08-18,rivers hay stacks,51.5396992,-127.5598,3,0.680351049,0.226783683,0.37662278,9,3,6,0.15,0.05,0.1
CMIC774,368227.5057,15417,2988,12429,1,100,2,20,50,7.36,subtidal,Fjord,2022-08-18,rivers hay stacks,51.5396992,-127.5598,3,0.680351049,0.226783683,0.37662278,9,3,6,0.15,0.05,0.1
CMIC775,81556.633,17171,1078,16093,1,100,2,20,1,81.56,subtidal,Fjord,2022-08-18,rivers nelson narrows,51.7700497,-127.43015,3,0.603569084,0.201189695,0.333893689,36,12,25,0.6,0.2,0.416666667
CMIC775,79498.19946,15691,961,14730,1,100,2,20,1,79.5,subtidal,Fjord,2022-08-18,rivers nelson narrows,51.7700497,-127.43015,3,0.603569084,0.201189695,0.333893689,36,12,25,0.6,0.2,0.416666667
CMIC775,69923.62976,17643,954,16689,1,100,2,20,1,69.92,subtidal,Fjord,2022-08-18,rivers nelson narrows,51.7700497,-127.43015,3,0.603569084,0.201189695,0.333893689,36,12,25,0.6,0.2,0.416666667
CMIC776,316.0257936,15923,4,15919,1,100,2,20,1,0.32,subtidal,OuterIslands,2022-08-20,mustang0007,51.81054507,-128.0512092,3,0.074694432,0.024898144,0.065885971,12,4,9,0.2,0.066666667,0.15
CMIC776,226.5668958,16657,3,16654,1,100,2,20,1,0.23,subtidal,OuterIslands,2022-08-20,mustang0007,51.81054507,-128.0512092,3,0.074694432,0.024898144,0.065885971,12,4,9,0.2,0.066666667,0.15
CMIC776,439.9912357,17156,6,17150,1,100,2,20,1,0.44,subtidal,OuterIslands,2022-08-20,mustang0007,51.81054507,-128.0512092,3,0.074694432,0.024898144,0.065885971,12,4,9,0.2,0.066666667,0.15
CMIC777,361.2779975,17411,5,17406,1,100,2,20,1,0.36,subtidal,Fjord,2022-08-21,burke doc marker,51.9652611,-127.71152,3,0.451155032,0.150385011,0.198797096,89,29.66666667,51,1.483333333,0.494444444,0.85
CMIC777,152.8107375,16464,2,16462,1,100,2,20,1,0.15,subtidal,Fjord,2022-08-21,burke doc marker,51.9652611,-127.71152,3,0.451155032,0.150385011,0.198797096,89,29.66666667,51,1.483333333,0.494444444,0.85
CMIC777,217.6294029,17341,3,17338,1,100,2,20,1,0.22,subtidal,Fjord,2022-08-21,burke doc marker,51.9652611,-127.71152,3,0.451155032,0.150385011,0.198797096,89,29.66666667,51,1.483333333,0.494444444,0.85
CMIC778,5281.331539,15991,67,15924,1,100,2,20,1,5.28,subtidal,Fjord,2022-08-21,burke hvidsen,51.9517062,-127.74103,3,0.143323171,0.04777439,0.069795647,36,12,19,0.6,0.2,0.316666667
CMIC778,4327.744007,15431,53,15378,1,100,2,20,1,4.33,subtidal,Fjord,2022-08-21,burke hvidsen,51.9517062,-127.74103,3,0.143323171,0.04777439,0.069795647,36,12,19,0.6,0.2,0.316666667
CMIC778,4640.881538,17107,63,17044,1,100,2,20,1,4.64,subtidal,Fjord,2022-08-21,burke hvidsen,51.9517062,-127.74103,3,0.143323171,0.04777439,0.069795647,36,12,19,0.6,0.2,0.316666667
CMIC779,832.9457641,16617,11,16606,1,100,2,20,1,0.83,subtidal,Fjord,2022-08-21,burke sagen,51.9258389,-127.88845,3,0.48480362,0.161601207,0.372210459,11,3.666666667,10,0.183333333,0.061111111,0.166666667
CMIC779,806.6270947,17159,11,17148,1,100,2,20,1,0.81,subtidal,Fjord,2022-08-21,burke sagen,51.9258389,-127.88845,3,0.48480362,0.161601207,0.372210459,11,3.666666667,10,0.183333333,0.061111111,0.166666667
CMIC779,766.9420838,16406,10,16396,1,100,2,20,1,0.77,subtidal,Fjord,2022-08-21,burke sagen,51.9258389,-127.88845,3,0.48480362,0.161601207,0.372210459,11,3.666666667,10,0.183333333,0.061111111,0.166666667
CMIC780,756.2445998,16638,10,16628,1,100,2,20,1,0.76,subtidal,Fjord,2022-08-21,burke eagle rock,51.9617544,-127.77545,3,0.727005247,0.242335082,0.414542712,67,22.33333333,47,1.116666667,0.372222222,0.783333333
CMIC780,1204.704165,16714,16,16698,1,100,2,20,1,1.2,subtidal,Fjord,2022-08-21,burke eagle rock,51.9617544,-127.77545,3,0.727005247,0.242335082,0.414542712,67,22.33333333,47,1.116666667,0.372222222,0.783333333
CMIC780,1429.388285,15849,18,15831,1,100,2,20,1,1.43,subtidal,Fjord,2022-08-21,burke eagle rock,51.9617544,-127.77545,3,0.727005247,0.242335082,0.414542712,67,22.33333333,47,1.116666667,0.372222222,0.783333333
CMIC781,11226.19343,17670,157,17513,1,100,2,20,1,11.23,subtidal,OuterIslands,2022-08-22,kwakshua146,51.65812538,-128.1127092,3,0.01945697,0.006485657,0.015163903,9,3,4,0.15,0.05,0.066666667
CMIC781,12119.60602,18459,177,18282,1,100,2,20,1,12.12,subtidal,OuterIslands,2022-08-22,kwakshua146,51.65812538,-128.1127092,3,0.01945697,0.006485657,0.015163903,9,3,4,0.15,0.05,0.066666667
CMIC781,13658.97369,17222,186,17036,1,100,2,20,1,13.66,subtidal,OuterIslands,2022-08-22,kwakshua146,51.65812538,-128.1127092,3,0.01945697,0.006485657,0.015163903,9,3,4,0.15,0.05,0.066666667
CMIC784,6734.050751,17430,81,17349,1,100,2,20,1,6.73,subtidal,OuterIslands,2022-08-23,kwakume5050,51.70320511,-127.8827169,3,0.003117378,0.001039126,0.003117378,14,4.666666667,14,0.233333333,0.077777778,0.233333333
CMIC784,8362.800598,11619,41,11578,1,100,2,20,1,8.36,subtidal,OuterIslands,2022-08-23,kwakume5050,51.70320511,-127.8827169,3,0.003117378,0.001039126,0.003117378,14,4.666666667,14,0.233333333,0.077777778,0.233333333
CMIC784,6321.122169,15373,73,15300,1,100,2,20,1,6.32,subtidal,OuterIslands,2022-08-23,kwakume5050,51.70320511,-127.8827169,3,0.003117378,0.001039126,0.003117378,14,4.666666667,14,0.233333333,0.077777778,0.233333333
CMIC785,1753.211498,18667,26,18641,1,100,2,20,1,1.75,subtidal,OuterIslands,2022-08-23,kwakume5038,51.70870511,-127.8873169,3,0.070218855,0.023406285,0.064468916,3,1,2,0.05,0.016666667,0.033333333
CMIC785,2302.511454,19138,35,19103,1,100,2,20,1,2.3,subtidal,OuterIslands,2022-08-23,kwakume5038,51.70870511,-127.8873169,3,0.070218855,0.023406285,0.064468916,3,1,2,0.05,0.016666667,0.033333333
CMIC785,1866.319299,16862,25,16837,1,100,2,20,1,1.87,subtidal,OuterIslands,2022-08-23,kwakume5038,51.70870511,-127.8873169,3,0.070218855,0.023406285,0.064468916,3,1,2,0.05,0.016666667,0.033333333
CMIC786,30069.21196,10555,220,10335,1,100,2,20,1,30.07,intertidal,OuterIslands,2022-09-09,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC786,30407.63283,18638,412,18226,1,100,2,20,1,30.41,intertidal,OuterIslands,2022-09-09,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC786,29883.30841,15407,324,15083,1,100,2,20,1,29.88,intertidal,OuterIslands,2022-09-09,north beach,51.66508,-128.1347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC787,954.2680979,18461,14,18447,1,100,2,20,1,0.95,intertidal,OuterIslands,2022-09-10,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC787,1125.162721,17895,16,17879,1,100,2,20,1,1.13,intertidal,OuterIslands,2022-09-10,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC787,1407.476425,17884,20,17864,1,100,2,20,1,1.41,intertidal,OuterIslands,2022-09-10,west beach,51.657423,-128.148814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC788,1688.405037,19383,26,19357,1,100,2,20,1,1.69,intertidal,OuterIslands,2022-09-11,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC788,2342.643976,18273,34,18239,1,100,2,20,1,2.34,intertidal,OuterIslands,2022-09-11,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC788,2650.627136,18052,38,18014,1,100,2,20,1,2.65,intertidal,OuterIslands,2022-09-11,fifth beach,51.64068,-128.156779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC789,4528.891087,17251,62,17189,1,100,2,20,1,4.53,subtidal,OuterIslands,2022-10-04,Meay,51.66461667,-128.0945833,3,0.005079885,0.001693295,0.001941253,39,13,19,0.65,0.216666667,0.316666667
CMIC789,5098.864555,19034,77,18957,1,100,2,20,1,5.1,subtidal,OuterIslands,2022-10-04,Meay,51.66461667,-128.0945833,3,0.005079885,0.001693295,0.001941253,39,13,19,0.65,0.216666667,0.316666667
